'merica	mˈɛɹəkə
abeokuta	ˌɑbAˈOkʊtˌɑ
aberdeen	ˌæbəɹdˈin
aberdonian	ˌæbəɹdˈOniən
abertawe	ˌæbəɹtˈWi
abidjan	ˌæbəʤˈɑn
abilene	ˈæbəlˌin
abington	ˈæbɪŋtən
abiquiu	ˈæbəkjˌu
abkhaz	ɑbkˈɑz
abkhazia	ɑbkˈɑziə
abkhazian	ɑbkˈɑziən
abnaki	ˌæbnˈæki
abo	ˈæbO
abomey	ˈɑbəmA
aboriginality	ˌæbəɹˌɪʤənˈæləɾi
aboriginalization	ˌæbəɹˌɪʤənələzˈAʃən
abraham	ˈAbɹəhˌæm
abrahamic	ˌAbɹəhˈæmɪk
abruzzian	əbɹˈutziən
abuja	əbˈuʤə
abuna	əbˈunə
abyssinia	ˌæbəsˈɪnjə
abyssinian	ˌæbəsˈɪniən
acadia	əkˈAdiə
acadian	əkˈAdiən
acanthocephala	əkˌænθəsˈɛfələ
acapulco	ˌɑkəpˈʊlkO
acari	ˈækəɹˌI
acarina	ˌækəɹˈInə
accra	əkɹˈɑ
achaea	əkˈiə
achaean	əkˈiən
achaemenian	ˌækəmˈɛniən
achaemenid	əkˈimənəd
achates	əkˈAɾiz
achernar	ˈækəɹnˌɑɹ
acheron	ˈækəɹˌɑn
acheulean	əʃˈuliən
achilles	əkˈɪliz
acholi	əʧˈOli
acmeism	ˈækmiˌɪzəm
acmeist	ˈækmiɪst
aconcagua	ˌækənkˈɑɡwə
acrilan	ˈækɹəlˌæn
acrux	ˈAkɹˌʌks
actaeon	æktˈiən
ada	ˈAdə
adam	ˈædəm
adana	ˈɑdənə
adar	ɑdˈɑɹ
adderall	ˈædəɹˌɔl
addison	ˈædəsən
addisonian	ˌædəsˈOniən
addressograph	ədɹˈɛsəɡɹˌæf
adelaide	ˈædᵊlˌAd
aden	ˈAdᵊn
adivasi	ˌɑdəvˈɑsi
adlerian	ædlˈɪɹiən
adonai	ˌædənˈI
adonis	ədˈɑnəs
adoptionist	ədˈɑpʃᵊnɪst
adrian	ˈAdɹiən
adriatic	ˌAdɹiˈæɾɪk
advaita	ədvˈIɾə
adventism	ˈædvˌɛntˌɪzəm
adventist	ˈædvˌɛntɪst
adygea	ˌɑdəɡˈAə
aegean	əʤˈiən
aegisthus	əʤˈɪsθəs
aelfric	ˈælfɹɪk
aeneas	ənˈiəs
aeneid	ənˈiəd
aeolus	iˈOləs
aeschines	ˈɛskəniz
aeschylus	ˈɛskələs
aesculapian	ˌɛskəlˈApiən
aesculapius	ˌɛskəlˈApiəs
aesir	ˈAsɪɹ
aesop	ˈisɑp
af-pak	ˈæfpˌæk
afar	əfˈɑɹ
affenpinscher	ˈɑfənpˌɪnʧəɹ
affrilachian	ˌæfɹəlˈAʧiən
afghan	ˈæfɡˌæn
afghani	æfɡˈɑni
afghanistan	æfɡˈænəstˌæn
africa	ˈæfɹəkə
african	ˈæfɹəkən
africana	ˌæfɹəkˈænə
africanism	ˈæfɹəkənˌɪzəm
africanist	ˈæfɹəkənɪst
africanization	ˌæfɹəkənəzˈAʃən
africanize	ˈæfɹəkənˌIz
afrikaans	ˌæfɹəkˈɑnz
afrikander	ˌæfɹəkˈændəɹ
afrikaner	ˌæfɹəkˈɑnəɹ
afro	ˈæfɹO
afro-american	ˌæfɹOəmˈɛɹəkᵊn
afro-asiatic	ˌæfɹOˌAʒiˈæɾɪk
afro-caribbean	ˌæfɹOkəɹˈɪbiən
afro-cuban	ˌæfɹOkjˈubən
afro-indigenous	ˌæfɹOəndˈɪʤənəs
afro-latina	ˌæfɹOlətˈinə
afro-latino	ˌæfɹOlətˈinˌO
afrobeat	ˈæfɹObˌit
afrocentric	ˌæfɹOsˈɛntɹɪk
afrocentrism	ˌæfɹOsˈɛntɹɪzəm
afrofuturism	ˌæfɹOfjˈuʧəɹɪzəm
afrofuturist	ˌæfɹOfjˈuʧəɹɪst
afrotropical	ˌæfɹOtɹˈɑpəkᵊl
agadir	ˌɑɡədˈɪɹ
agamemnon	ˌæɡəmˈɛmnɑn
agartala	ˈʌɡəɹtəlˌɑ
agnatha	ˈæɡnəθə
agni	ˈæɡni
agra	ˈɑɡɹə
aguascalientes	ˌɑɡwəskˌɑljˈɛntAs
ahmadabad	ˈɑmədəbˌɑd
ahmadi	ɑmˈɑdi
ahmadiyya	ˌɑmədˈijə
ahriman	ˈɑɹimən
ahvaz	ɑvˈɑz
ahvenanmaa	ˈɑvənˌɑnmˌɑ
ahwaz	ɑwˈɑz
aiken	ˈAkən
aintab	Intˈɑb
ainu	ˈInˌu
airedale	ˈɛɹdˌAl
aix-en-provence	ˌɛksɑnpɹOvˈɑns
aix-la-chapelle	ˌɛkslɑʃɑpˈɛl
aizawl	IzˈWl
ajaccio	ɑjˈɑʧiO
ajax	ˈAʤˌæks
ajman	æʤmˈɑn
ajmer	əʤmˈɪɹ
ak-mechet	ˌɑkməʧˈɛt
akan	ɑkˈɑn
akashi	əkˈɑʃi
akhenaten	ɑkənˈɑʔn
akihito	ˌɑkihˈitO
akira	əkˈɪɹə
akita	ɑkˈiɾə
akkad	ækˈæd
akkadian	əkˈAdiən
akko	ˈɑkO
akmola	ækmˈɔlə
akron	ˈækɹən
aksum	ˈɑksum
aksumite	ˈɑksumˌIt
al	ˈæl
al-anon	ˌælənˈɑn
alabama	ˌæləbˈæmə
alabaman	ˌæləbˈæmən
alabamian	ˌæləbˈæmiən
aladdin	əlˈædᵊn
alain-fournier	əlˌɛnfˈʊɹnjA
alameda	ˌæləmˈidə
alamo	ˈæləmˌO
alamogordo	ˌæləməɡˈɔɹdO
alan	ˈælən
alar	ˈAlˌɜɹ
alaric	ˈæləɹɪk
alaska	əlˈæskə
alaskan	əlˈæskᵊn
alawi	ˈæləwi
alawite	ˈæləwIt
alba	ˈælbə
albacete	ˌælbəsˈAɾˌi
albania	ælbˈAniə
albanian	ælbˈAniən
albany	ˈɔlbəni
alberta	ælbˈɜɹɾə
albertan	ælbˈɜɹtᵊn
albigenses	ˌælbəʤˈɛnsiz
albinus	ælbˈinəs
albion	ˈælbiən
albuquerque	ˈælbəkˌɜɹki
alcaeus	ælsˈiəs
alcatraz	ˈælkətɹˌæz
alcestis	ɔlsˈɛstəs
alcheringa	ˌælʧəɹˈɪŋɡə
alcibiades	ˌælsəbˈIədiz
alclad	ˈælklæd
alcuin	ˈælkwən
aldabra	ældˈæbɹə
aldebaran	ældˈɛbəɹən
alderney	ˈɔldəɹni
aldine	ˈɔldˌIn
alecto	əlˈɛktO
aleichem	əlˈɛkəm
aleksandropol	ˌæləkzˈɑndɹəpOl
aleksandrovsk	ˌæləɡzˈændɹɔvsk
aleppo	əlˈɛpO
aletschhorn	ˈɑlɪʧhˌɔɹn
aleut	əlˈut
alex	ˈælɪks
alexa	əlˈɛksə
alexander	ˌæləɡzˈændəɹ
alexandretta	ˌæləɡzændɹˈɛɾə
alexandria	ˌæləɡzˈændɹiə
alexandrian	ˌæləɡzˈændɹiən
alfred	ˈælfɹəd
alfredo	ælfɹˈɛdO
algeciras	ˌælʤəsˈɪɹəs
algeria	ælʤˈɪɹiə
algerian	ælʤˈɪɹiən
algiers	ælʤˈɪɹz
algol	ˈælɡˌɔl
algonkian	ælɡˈɑŋkiən
algonquian	ælɡˈɑŋkwiən
algonquin	ælɡˈɑŋkwən
alhambra	ælhˈæmbɹə
ali	ɑlˈi
alicante	ˌæləkˈɑnti
alice	ˈælɪs
alice-in-wonderland	ˌæləsənwˈʌndəɹlˌænd
allah	ˈælə
allahabad	ˈɑləhəbˌɑd
allenstein	ˈɑlənʃtˌIn
allentown	ˈæləntˌWn
allier	æljˈA
almagest	ˈælməʤˌɛst
almaty	ˌælmˈɑti
almohad	ɑlməhˈɑd
almoravid	ælməɹˈɑvəd
aloha	əlˈOhˌɑ
alpharetta	ˌælfəɹˈɛɾə
alps	ˈælps
alsace	ˌælsˈæs
alsatian	ælsˈAʃən
alt	ˈɔlt
altadena	ˌæltədˈinə
altai	ˈæltˌI
altaic	æltˈAɪk
altair	ˈæltˌɛɹ
altamira	ˌæltəmˈɪɹə
althing	ˈɔlθˌɪŋ
alton	ˈɔltᵊn
altoona	æltˈunə
altus	ˈæltəs
alzheimer's	ˈɑltshˌIməɹz
amal	ɑmˈɑl
amalthea	ˌæməlθˈiə
amarillo	ˌæməɹˈɪlO
amaterasu	ˌɑmɑɾəɹˈɑsu
amati	ɑmˈɑɾi
amazigh	ˌæməzˈik
amazon	ˈæməzˌɑn
amazonia	ˌæməzˈOniə
amazonian	ˌæməzˈOniən
ambato	ɑmbˈɑɾO
amboina	æmbˈYnə
amboinese	ˌæmbˌYnˈiz
ambon	ˈæmbˌɑn
ambonese	ˌæmbənˈiz
ambrosian	æmbɹˈOʒən
amerasian	ˌæməɹˈAʒən
america	əmˈɛɹəkə
american	əmˈɛɹəkᵊn
americana	əmˌɛɹəkˈɑnə
americanism	əmˈɛɹəkənˌɪzəm
americanization	əmˌɛɹəkənəzˈAʃən
americanize	əmˈɛɹəkənˌIz
americanized	əmˈɛɹəkənˌIzd
americano	əmˌɛɹəkˈɑnO
americas	əmˈɛɹəkəz
amerindian	ˌæməɹˈɪndiən
ames	ˈAmz
ameslan	ˈæməslˌæn
amex	ˈæmˌɛks
amhara	æmhˈɛɹə
amharic	æmhˈɛɹɪk
amherst	ˈæmhəɹst
amidah	əmˈidə
amiens	ˈɑmiən
amish	ˈɑmɪʃ
amman	ˈɑmɑn
ammon	ˈæmən
amorite	ˈæməɹˌIt
amos	ˈAməs
amoy	ɑmˈY
ampakine	ˈæmpəkˌIn
amphipoda	æmpfˈɪpədə
amphisbaenia	ˌæmfɪsbˈiniə
amphitrite	ˌæmpfətɹˈIɾi
amritsar	ɑmɹˈɪtsəɹ
amsterdam	ˈæmstəɹdˌæm
amtrak	ˈæmtɹˌæk
amun	ˈɑmən
amur	ɑmˈuəɹ
amy	ˈAmi
amytal	ˈæmətˌɔl
anabaptism	ˌænəbˈæptˌɪzəm
anabaptist	ˌænəbˈæptɪst
anacreon	ənˈækɹiən
anaheim	ˈænəhˌIm
ananias	ˌænənˈIəs
anasazi	ˌænəsˈɑzi
anatolia	ˌænətˈOliə
anatolian	ˌænətˈOljən
anaxagoras	ˌænəksˈæɡəɹəs
anaximander	ənˌæksəmˈændəɹ
anaximenes	ˌænəksˈɪməniz
anchises	æŋkˈIsiz
anchorage	ˈæŋkəɹɪʤ
ancona	ænkˈOnə
ancyra	ænsˈIɹə
andalusia	ˌændəlˈuʒiə
andalusian	ˌændəlˈuʒən
andean	ˈændiən
anderson	ˈændəɹsᵊn
andersonville	ˈændəɹsənvˌɪl
andes	ˈændiz
andorra	ændˈɔɹə
andorran	ændˈɔɹən
andover	ˈændOvəɹ
andrew	ˈændɹu
andrewsarchus	ˌændɹusˈɑɹkəs
androcles	ˈændɹəklˌiz
andromache	ændɹˈɑməki
andromeda	ændɹˈɑmədə
andropov	ɑndɹˈɔpɔf
angeleno	ˌænʤəlˈinO
angelus	ˈænʤələs
angevin	ˈænʤəvən
angkor	ˈæŋkɔɹ
angle	ˈæŋɡᵊl
anglesey	ˈæŋɡəlsi
anglian	ˈæŋɡliən
anglican	ˈæŋɡləkᵊn
anglicism	ˈæŋɡləsˌɪzəm
angliicanism	ˈæŋɡləkənˌɪzəm
anglo	ˈæŋɡlO
anglo-american	ˌæŋɡlOəmˈɛɹəkᵊn
anglo-catholic	ˌæŋɡlOkˈæθᵊlɪk
anglo-catholicism	ˌæŋɡlOkəθˈɑləsˌɪzəm
anglo-celt	ˌæŋɡlOkˈɛlt
anglo-french	ˌæŋɡlOfɹˈɛnʧ
anglo-indian	ˌæŋɡlOˈɪndiən
anglo-irish	ˌæŋɡlOˈIɹɪʃ
anglo-latin	ˌæŋɡlOlˈætᵊn
anglo-saxon	ˌæŋɡlOsˈæksᵊn
anglocentric	ˌæŋɡlOsˈɛntɹɪk
anglomania	ˌæŋɡlOmˈAniə
anglomaniac	ˌæŋɡlOmˈAniˌæk
anglophile	ˈæŋɡlOfˌIl
anglophilia	ˌæŋɡlOfˈɪljə
anglophobe	ˈæŋɡlOfˌOb
anglophobia	ˌæŋɡlOfˈObiə
anglos	ˈæŋɡlOz
anglosphere	ˈæŋɡlOsfˌɪɹ
angola	æŋɡˈOlə
angolan	æŋɡˈOlən
angora	æŋɡˈɔɹə
angostura	ˌæŋɡəstˈʊɹə
anguilla	æŋɡwˈɪlə
anguillan	æŋɡwˈɪlən
anhui	ˌɑnhwˈA
anjou	ˈɑnʒu
ankara	ˈɑŋkəɹə
annaba	ənˈɑbə
annandale	ˈænəndˌAl
annapolis	ənˈæpəlɪs
annapurna	ˌænəpˈɜɹnə
anne	ˈæn
annelida	ənˈɛlədə
anniston	ˈænəstən
anoplura	ˌænəplˈʊɹə
anschluss	ˈɑnʃlˌus
anshan	ænʃˈæn
antabuse	ˈæntəbjˌus
antaeus	æntˈAəs
antakya	ˌɑntɑkjˈɑ
antalya	æntˈɑliə
antananarivo	ˌɑntənˌɑnəɹˈivO
antarctic	æntˈɑɹktɪk
antarctica	æntˈɑɹktəkə
antares	æntˈɛɹiz
anthozoa	ˌænθəzˈOə
anthropocene	ˈænθɹəpəsˌin
antibes	ɑntˈibz
antichrist	ˈæntikɹˌIst
antietam	æntˈiɾəm
antifa	ˈæntifˌɑ
antigone	æntˈɪɡəni
antigua	æntˈiɡwə
antiguan	æntˈiɡən
antilles	æntˈɪliz
antioch	ˈæntiɑk
antiochus	æntˈIəkəs
antipodean	æntˌɪpədˈiən
antlia	ˈæntliə
antofagasta	ˌɑntOfəɡˈɑstə
antonine	ˈæntənˌIn
antrim	ˈæntɹəm
antron	ˈæntɹˌɑn
antung	ˌɑnɾˈʊŋ
antwerp	ˈæntwˌɜɹp
antwerpen	ˈæntwˌɜɹpən
anubis	ənˈubɪs
anura	ənˈʊɹə
anuradhapura	ˌʌnəɹˌɑdəpˈʊɹə
anvers	ɑnvˈɛɹz
anytown	ˈɛnitˌWn
anzac	ˈænzˌæk
anzio	ˈænziO
aotearoa	WtˌAəɹˈOə
apache	əpˈæʧi
apeldoorn	ˈæpəldˌɔɹn
apennines	ˈæpənˌInz
aperol	ˈæpəɹOl
apex	ˈApˌɛks
aphrodite	ˌæfɹədˈIɾi
apia	ˈæpiə
apicomplexa	ˌApəkəmplˈɛksə
apis	ˈApɪs
apocrypha	əpˈɑkɹəfə
apodis	ˈApədɪs
apollinarian	əpˌɑlənˈɛɹiən
apollinaris	əpˌɑlənˈɜɹəs
apollo	əpˈɑlO
apollonian	ˌæpəlˈOniən
apollonius	ˌæpəlˈOniəs
apollyon	əpˈɑliən
appalachia	ˌæpəlˈAʧiə
appalachian	ˌæpəlˈAʧiən
appaloosa	ˌæpəlˈusə
appleton	ˈæpəltən
appomattox	ˌæpəmˈæɾəks
april	ˈApɹəl
apterygota	AtˌɛɹəɡˈOɾə
apuleius	ˌæpjəlˈiəs
apulian	əpjˈuliən
apus	ˈApəs
aqaba	ˈɑkəbɑ
aquarian	əkwˈɛɹiən
aquarius	əkwˈɛɹiəs
aquidneck	əkwˈɪdnˌɛk
aquila	ˈækwələ
aquitaine	ˈækwətˌAn
ara	ˈɑɹə
arab	ˈɛɹəb
arabia	əɹˈAbiə
arabian	əɹˈAbjən
arabic	ˈɛɹəbɪk
arabicize	əɹˈæbəsˌIz
arabism	ˈɛɹəbˌɪzəm
arabist	ˈɛɹəbɪst
arabization	ˌɛɹəbIzˈAʃən
arabize	ˈɛɹəbˌIz
arabized	ˈɛɹəbˌIzd
arachne	əɹˈækni
arachnida	əɹˈæknɪdə
aragon	ˈɛɹəɡˌɑn
aramaean	ˌɛɹəmˈAən
aramaic	ˌɛɹəmˈAɪk
aran	ˈɛɹən
aranyaka	ˌɑɹˈʌnjəkə
arapaho	əɹˈæpəhˌO
araucanian	ˌɛɹɔkˈAniən
arawak	ˈɛɹəwˌɑk
arawakan	ˌɛɹəwˈɑkən
arborio	ɑɹbˈɔɹiO
arcadia	ɑɹkˈAdiə
arcadian	ɑɹkˈAdiən
arcady	ˈɑɹkədi
archangel	ˈɑɹkˌAnʤəl
archean	ɑɹkˈiən
archilochus	ˌɑɹkˈɪləkəs
archimedean	ˌɑɹkəmˈidiən
archimedes	ˌɑɹkəmˈidiz
arctic	ˈɑɹktɪk
arctogaea	ˌɑɹktOʤˈiə
arctogaean	ˌɑɹktOʤˈiən
arcturus	ˌɑɹktˈʊɹəs
ardennes	ɑɹdˈɛnz
ardi	ˈɑɹdi
ardmore	ˈɑɹdmɔɹ
arecibo	ˌɑɹəsˈibO
areopagus	ˌɛɹiˈɑpəɡəs
arequipa	ˌɑɹəkˈipə
ares	ˈɛɹiz
argentina	ˌɑɹʤəntˈinə
argentine	ˈɑɹʤəntIn
argentinian	ˌɑɹʤəntˈɪniən
argie	ˈɑɹʤi
argive	ˈɑɹɡˌIv
argo	ˈɑɹɡO
argonauts	ˈɑɹɡənˌɔts
argonne	ɑɹɡˈɑn
argos	ˈɑɹɡəs
argus-eyed	ˈɑɹɡəsˌId
ariadne	ˌɛɹiˈædni
arian	ˈɛɹiən
arianism	ˈɛɹiənˌɪzəm
ariel	ˈɛɹiəl
aries	ˈɛɹˌiz
aristarchus	ˌɛɹəstˈɑɹkəs
aristides	ˌɛɹəstˈIdiz
aristippus	ˌɛɹəstˈɪpəs
aristophanes	ˌɛɹəstˈɑfəniz
aristotelian	əɹˌɪstətˈiliən
aristotle	ˈɛɹəstɑɾᵊl
arita	əɹˈiɾə
arizona	ˌɛɹəzˈOnə
arizonan	ˌɛɹəzˈOnən
arjuna	ˈɑɹʤʊnə
arkansan	ɑɹkˈænzᵊn
arkansas	ˈɑɹkənsˌɔ
arkhangelsk	ˌɑɹkˌɑnɡˈɛlsk
arles	ˈɑɹᵊl
arlington	ˈɑɹlɪŋtᵊn
armageddon	ˌɑɹməɡˈɛdᵊn
armagh	ɑɹmˈɑ
armagnac	ˈɑɹmənjˌæk
armalite	ˈɑɹməlˌIt
armco	ˈɑɹmkO
armenia	ɑɹmˈiniə
armenian	ɑɹmˈiniən
arminian	ɑɹmˈɪniən
arminianism	ɑɹmˈɪniənˌɪzəm
arnel	ɑɹnˈɛl
arnhem	ˈɑɹnəm
arnie	ˈɑɹni
arno	ˈɑɹnˌO
arran	ˈɛɹən
arras	ˈɛɹəs
arretine	ˈɛɹətIn
artemis	ˈɑɹɾəməs
arthropoda	ɑɹθɹˈɑpədə
arthur	ˈɑɹθəɹ
arthurian	ɑɹθˈʊɹiən
artiodactyla	ˌɑɹɾiOdˈæktᵊlə
artois	ɑɹtwˈɑ
aruba	əɹˈubə
arvada	ɑɹvˈɑdə
aryan	ˈɛɹiən
asansol	ˌɑsənsˈOl
asclepius	əsklˈipiəs
ascot	ˈæskˌɑt
asgard	ˈæsɡˌɑɹd
ashanti	əʃˈɑnti
asher	ˈæʃəɹ
asheville	ˌæʃvˈɪl
ashgabat	ˌɑʃɡəbˈɑt
ashkenazi	ˌæʃkənˈɑzi
ashkenazic	ɑʃkənˈɑzɪk
ashkenazim	ˌæʃkənˈɑzɪm
ashland	ˈæʃlᵊnd
ashtabula	ˌæʃtəbjˈulə
ashurbanipal	ˌɑʃʊɹbˈɑnipˌɑl
asia	ˈAʒə
asia-pacific	ˌAʒəpəsˈɪfɪk
asian	ˈAʒən
asiatic	ˌAʒiˈæɾɪk
asmara	ˌæsmˈɛɹə
asoka	əsˈOkə
aspen	ˈæspən
aspie	ˈæspi
assam	əsˈæm
assamese	ˌɑsəmˈiz
assiniboine	əsˈɪnəbˌYn
assisi	əsˈisi
assyria	əsˈɪɹiə
assyrian	əsˈɪɹiən
assyriologist	əsˌɪɹiˈɑləʤɪst
assyriology	əsˌɪɹiˈɑləʤi
astana	æstˈɑnə
astarte	əstˈɑɹɾi
asteroidea	ˌæstəɹˈYdiə
asti	ˈæsti
astoria	əstˈɔɹiə
astraea	æstɹˈiə
astrakhan	ˈæstɹəkən
astroturf	ˈæstɹOtˌɜɹf
asturian	æstˈʊɹiən
asturias	æstˈʊɹiəs
aswan	ˈæzwɑn
atabrine	ˈæɾəbɹən
atalanta	ˌɑɾəlˈɑntə
atascadero	ətˌæskədˈɛɹO
aten	ˈɑʔn
athabaskan	ˌæθəbˈæskən
athelstan	ˈæθəlstˌæn
athena	əθˈinə
athenaeum	ˌæθənˈiəm
athenian	əθˈiniən
athens	ˈæθənz
athonite	ˈæθənˌIt
ativan	ˈæɾɪvæn
atlanta	ətlˈæntə
atlantan	ətlˈæntən
atlantean	ətlˈæntiən
atlantic	ətlˈæntɪk
atlanticism	ətlˈæntəsˌɪzəm
atlanticist	ətlˈæntəsɪst
atlantis	ətlˈæntəs
atlas	ˈætləs
atreus	ˈAtɹiəs
atropos	ˈætɹəpˌɑs
atsina	ætsˈinə
attalid	ˈæɾᵊlˌɪd
attic	ˈæɾɪk
attica	ˈæɾəkə
atticism	ˈæɾəsˌɪzəm
attila	ətˈɪlə
attis	ˈæɾəs
attleboro	ˈætᵊlbˌɜɹO
attu	ˈætu
atwater	ˈætwɔtəɹ
auburn	ˈɔbəɹn
aubusson	ˈObəsˌɔn
auckland	ˈɔklənd
audio-animatronics	ˌɔdiOˌænəmətɹˈɑnɪks
augean	ɔʤˈiən
augeas	ɔʤˈiəs
augsburg	ˈɔɡzbəɹɡ
august	ˈɔɡəst
augusta	əɡˈʌstə
augustan	ɔɡˈʌstən
augustine	ˈɔɡəstˌin
augustinian	ˌɔɡəstˈɪniən
augustus	əɡˈʌstəs
aurangzeb	ˌɔɹɑŋzˈɛb
aurelian	ɔɹˈiliən
auriga	ɔɹˈIɡə
aurignacian	ˌɔɹəɡnˈAʃən
aurora	əɹˈɔɹə
auschwitz	ˈWʃvɪts
auskick	ˈɔskˌɪk
auslan	ˈɑzlˌæn
auslese	ˈWslAzə
aussie	ˈɔzi
austin	ˈɔstən
australasia	ˌɔstɹəlˈAʒə
australasian	ˌɔstɹəlˈAʒən
australia	ɔstɹˈAljə
australian	ɔstɹˈAljən
australianism	ɔstɹˈAliənˌɪzəm
australoid	ˈɔstɹəlˌYd
australopithecus	ˌɔstɹəlOpˈɪθəkəs
australorp	ˈɔstɹəlˌɔɹp
austria	ˈɔstɹiə
austrian	ˈɔstɹiən
austro-asiatic	ˌɔstɹOˌAʒiˈæɾɪk
austronesian	ˌɔstɹOnˈiʒən
auvergne	Ovˈɛɹnjə
avalon	ˈævəlˌɑn
avebury	ˈAvbəɹi
aves	ˈɑvAz
avesta	əvˈɛstə
avestan	əvˈɛstᵊn
avicenna	ˌævəsˈɛnə
avignon	ˌævənjˈɔn
avogadro	ˌɑvəɡˈɑdɹO
avon	ˈAvˌɑn
avondale	ˈævəndˌAl
axminster	ˈæksmˌɪnstəɹ
ayacucho	ˌIəkˈuʧO
ayesha	Iˈiʃə
aymara	ˌIməɹˈɑ
aymaras	Imˌɑɹˈɑz
ayrshire	ˈɛɹʃˌɪɹ
ayurveda	ˌIəɹvˈAdə
ayurvedic	ˌɑjəɹvˈAdɪk
azerbaijan	ˌæzəɹbˌIʤˈɑn
azerbaijani	ˌæzəɹbˌIʤˈɑni
azerbaijanis	ˌæzəɹbˌIʤˈɑniz
azeri	əzˈɛɹi
azeris	əzˈɛɹiz
azores	ˈAzˌɔɹz
azrael	ˌæzɹiˈɛl
aztec	ˈæztˌɛk
azusa	əzˈusə
b	bˈi
b's	bˈiz
b-list	bˈilˌɪst
b-movie	bˈimˌuvi
b-side	bˈisˌId
b-tree	bˈitɹˌi
ba	bˈɑ
bafta	bˈæftə
bamf	bˈæmf
basic	bˈAsɪk
bbq	bˈɑɹbəkjˌu
bcat	bˈikˌæt
be	bi
bed	biˈɛd
bilf	bˈɪlf
bios	bˈIɑs
bipoc	bˈIpɑk
bitnet	bˈɪtnˌɛt
bj	bˈiʤˌA
blitt	bˌilˈɪt
bmat	bˈimˌæt
bmus	bˌimˈʌz
bo	bˈO
bogo	bˈOɡO
bogof	bˈɔɡɔf
brics	bɹˈɪks
bsat	bˈisˌæt
bupa	bˈupə
bvds	bˌivˌidˈiz
baal	bˈAəl
baalbek	bˈɑlbˌɛk
baathism	bˈɑθˌɪzəm
baathist	bˈɑθɪst
babbitt	bˈæbət
babbittry	bˈæbətɹi
babi	bˈɑbi
babism	bˈɑbˌɪzəm
babruisk	bɑbɹˈuɪsk
babur	bˈɑbʊɹ
babylon	bˈæbəlˌɑn
babylonia	bˌæbəlˈOniə
babylonian	bˌæbəlˈOniən
bacardi	bəkˈɑɹdi
bacardis	bəkˈɑɹdiz
bacchae	bˈɑki
bacchanalia	bˌækənˈAljə
bacchic	bˈɑkɪk
bacchus	bˈɑkəs
bacolod	bəkˈOlɑd
baconian	bəkˈOniən
bactria	bˈæktɹiə
bactrian	bˈæktɹiən
baden	bˈɑdᵊn
baden-baden	bˌɑdᵊnbˈɑdᵊn
baedeker	bˈAdˌɛkəɹ
baganda	bəɡˈɑndə
baghdad	bˈæɡdˌæd
baha'i	bɑhˈI
baha'is	bɑhˈIz
baha'ism	bɑhˈIˌɪzəm
bahamas	bəhˈɑməz
bahamian	bəhˈɑmiən
bahawalpur	bəhˈɑwəlpˌʊɹ
bahia	bɑˈiə
bahrain	bɑɹˈAn
bahraini	bɑɹˈAni
bahutu	bɑhˈutˌu
bairiki	bIɹˈiki
baisakhi	bIsˈɑki
bajan	bˈAʤən
